Date,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95
1990Q1," 1,052.86 ", 963.16 , 231.14 , 178.27 , 50.14 , 2.72 , -   , -   , -   , -   , 408.90 , 238.19 , 170.71 , 205.23 , 113.76 , 91.47 , 22.96 , 94.94 , 47.72 , -   , 47.22 , 89.69 , 84.41 , 5.28 ," 1,080.73 ", 863.22 , 295.50 , 12.70 , 17.97 , 264.83 , 290.13 , 35.28 , 254.85 , 81.10 , 27.97 , 26.90 , 1.07 , 82.49 , -   , 22.93 , 59.56 , 63.07 , -   , -   , -   , -   , 63.07 , 22.97 , -   , -   , -   , -   , -   , -   , 217.51 , 99.94 , 81.19 , (27.88), (27.88), 27.88 , (57.35), 75.05 ,,0,-36.57,37.842,-4.45,-44.52,-84.69544,0,85.2218,35.09,26.9,8.19,25.3128,1.42,23.399,-2.47,17.669,0,,8.2,,3557.91239,3587.595277
1990Q2," 1,177.06 "," 1,115.34 ", 311.47 , 257.21 , 48.35 , 5.91 , -   , -   , -   , -   , 446.44 , 269.41 , 177.03 , 219.23 , 124.31 , 94.91 , 29.46 , 108.75 , 54.41 , -   , 54.34 , 61.71 , 55.49 , 6.22 ," 1,313.01 "," 1,065.12 ", 388.16 , 19.82 , 31.67 , 336.67 , 359.34 , 37.18 , 322.15 , 147.24 , 27.62 , 26.70 , 0.92 , 86.51 , -   , 23.54 , 62.97 , 79.34 , -   , -   , -   , -   , 79.34 , (23.08), -   , -   , -   , -   , -   , -   , 247.88 , 50.22 , 38.90 , (135.95), (135.95), 135.95 , 111.97 , 84.27 ,,0,-54.378,98.58,-1.91,33.39,-47.9862,0,23.98246,25.54,26.7,-1.16,-0.48654,16.09,-17.161,-12.26,-6.301,0,,1.4,,3754.367649,3926.068381
1990Q3," 1,251.80 "," 1,168.73 ", 257.14 , 207.61 , 46.05 , 3.48 , -   , -   , -   , -   , 513.56 , 331.49 , 182.07 , 240.32 , 134.06 , 106.26 , 34.51 , 123.20 , 58.85 , -   , 64.34 , 83.07 , 75.29 , 7.79 ," 1,346.01 "," 1,024.82 ", 364.16 , 13.71 , 19.22 , 331.24 , 349.83 , 37.73 , 312.10 , 80.77 , 28.42 , 27.50 , 0.92 , 112.75 , -   , 27.78 , 84.97 , 92.62 , -   , -   , -   , -   , 92.62 , (3.73), -   , -   , -   , -   , -   , -   , 321.19 , 143.91 , 14.98 , (94.21), (94.21), 94.21 , 91.27 , 166.63 ,,0,-38.16,33.708,-2.545,-68.37,0,0,2.94552,42.397,27.5,14.897,-40.50048,-1.061,2.11,2.54,7.67,0,,-8.1,,4028.537972,3934.132611
1990Q4," 1,270.96 "," 1,191.09 ", 273.23 , 224.53 , 44.27 , 4.43 , -   , -   , -   , -   , 492.48 , 319.66 , 172.82 , 259.59 , 160.79 , 98.81 , 38.08 , 127.71 , 69.87 , -   , 57.83 , 79.87 , 68.57 , 11.30 ," 1,687.49 "," 1,197.60 ", 530.90 , 16.78 , 36.18 , 477.94 , 366.72 , 41.95 , 324.78 , 152.96 , 15.73 , 15.00 , 0.73 , 111.23 , -   , 32.58 , 78.65 , 110.11 , -   , -   , -   , -   , 110.11 , (90.05), -   , -   , -   , -   , -   , -   , 489.89 , (6.51), (247.83), (416.52), (416.52), 416.52 , 232.20 , 235.64 ,,0,-64.236,86.496,-0.319,20.034,-45.41676,0,184.32854,221.567,15,206.567,0.48654,-1.755,-35.97,-16.3,-16.22,0,,-3.45,,4102.31845,3995.340192
1991Q1," 1,206.80 "," 1,150.52 ", 273.23 , 231.29 , 39.40 , 2.54 , -   , -   , -   , -   , 501.64 , 342.45 , 159.19 , 229.73 , 136.78 , 92.95 , 35.51 , 110.42 , 60.43 , -   , 49.99 , 56.28 , 43.01 , 13.26 ," 1,342.66 "," 1,010.67 ", 360.72 , 10.89 , 23.05 , 326.78 , 353.82 , 31.97 , 321.85 , 107.16 , 36.28 , 35.80 , 0.48 , 109.90 , 19.08 , 32.44 , 58.38 , 64.49 , -   , -   , -   , -   , 64.49 , (21.70), -   , -   , -   , -   , -   , -   , 331.99 , 139.85 , 7.58 , (135.86), (135.86), 135.86 , 93.32 , 117.84 ,,0,-40.94,44.144,-2.848,-24.87016,0,0,42.54178633,-13.104,35.8,-48.904,16.48992,39.96446244,-0.808596108,0.451403892,-1.56,0,0,0.3,,4364.334381,3677.805793
1991Q2," 1,604.97 "," 1,448.06 ", 376.23 , 325.56 , 47.96 , 2.71 , -   , -   , -   , -   , 621.81 , 409.07 , 212.74 , 286.39 , 169.74 , 116.65 , 47.06 , 116.57 , 63.13 , -   , 53.44 , 156.90 , 139.36 , 17.55 ," 1,760.65 "," 1,373.23 ", 490.87 , 16.74 , 32.06 , 442.08 , 471.69 , 51.28 , 420.42 , 189.42 , 32.53 , 32.40 , 0.13 , 90.87 , 18.94 , 52.71 , 19.23 , 124.49 , -   , -   , -   , -   , 124.49 , (26.65), -   , -   , -   , -   , -   , -   , 387.42 , 74.83 , 66.27 , (155.68), (155.68), 155.68 , 92.32 , 117.12 ,,0,-59.096,118.548,-1.424,-51.92616,-25.29024,-5.611,63.35630036,10.122,32.4,-22.278,16.52552,49.29274003,-12.58395968,-7.703959683,-0.58,0,0,-4.3,,4686.297567,4217.984345
1991Q3," 1,758.25 "," 1,604.29 ", 358.81 , 301.57 , 53.94 , 3.30 , -   , -   , -   , -   , 730.84 , 455.45 , 275.39 , 334.80 , 211.04 , 123.76 , 49.66 , 130.18 , 73.64 , -   , 56.54 , 153.96 , 124.63 , 29.32 ," 1,840.18 "," 1,424.02 ", 514.50 , 43.05 , 27.78 , 443.67 , 410.19 , 55.73 , 354.46 , 87.54 , 63.93 , 57.80 , 6.13 , 95.54 , 12.15 , 54.34 , 29.04 , 123.97 , -   , -   , -   , -   , 123.97 , 128.36 , -   , -   , -   , -   , -   , -   , 416.16 , 180.27 , 69.54 , (81.93), (81.93), 81.93 , 136.27 , 144.91 ,,0,-54.13692,9.612,0,41.33872,0,-5.455,-54.33068122,-66.142,57.8,-123.942,21.14284,2.254408229,-11.58592944,-13.48192944,-1.004,0,0,2.9,,4925.580737,4149.574898
1991Q4," 1,626.97 "," 1,586.11 ", 357.04 , 299.11 , 54.50 , 3.43 , -   , -   , -   , -   , 700.95 , 464.96 , 235.99 , 329.75 , 217.14 , 112.61 , 46.49 , 151.88 , 82.38 , -   , 69.50 , 40.86 , 18.57 , 22.29 ," 2,065.74 "," 1,541.41 ", 592.46 , 16.76 , 28.06 , 547.64 , 480.53 , 72.36 , 408.16 , 184.77 , 12.88 , 5.30 , 7.58 , 121.72 , 21.06 , 64.64 , 36.01 , 122.65 , -   , -   , -   , -   , 122.65 , 26.40 , -   , -   , -   , -   , -   , -   , 524.34 , 44.70 , (241.13), (438.77), (438.77), 438.77 , 299.98 , 266.37 ,,0,-55.91336,97.9,0,22.81604,-31.34224,0.154,138.7865545,262.451,5.3,257.151,-106.25532,0.310389288,-17.71951476,-21.06551476,0.146,0,0,3.2,,5155.915673,4211.087616
1992Q1," 1,522.60 "," 1,483.06 ", 404.93 , 343.53 , 58.37 , 3.04 , -   , -   , -   , -   , 616.32 , 437.61 , 178.71 , 294.22 , 186.83 , 107.39 , 48.08 , 119.51 , 71.88 , -   , 47.62 , 39.53 , 20.93 , 18.61 ," 1,591.98 "," 1,220.80 ", 452.02 , 12.34 , 27.10 , 412.57 , 348.85 , 46.62 , 302.23 , 87.54 , 74.07 , 32.10 , 41.97 , 88.60 , 11.24 , 54.30 , 23.06 , 122.40 , -   , -   , -   , -   , 122.40 , 47.32 , -   , -   , -   , -   , -   , -   , 371.18 , 262.26 , 92.22 , (69.38), (69.38), 69.38 , 332.16 , 334.54 ,,0,-52.904,17.505,-4.67,44.006,0,-6.32,-262.7771432,-223.887,32.1,-255.987,4.23621,-34.225,-8.901353189,-8.278608248,0.970414201,0,0,-1.593159145,,4998.771318,3795.755863
1992Q2," 1,808.37 "," 1,665.35 ", 548.58 , 482.05 , 63.73 , 2.80 , -   , -   , -   , -   , 623.66 , 456.10 , 167.56 , 317.08 , 206.43 , 110.65 , 49.69 , 126.34 , 70.21 , -   , 56.13 , 143.02 , 129.20 , 13.81 ," 2,055.77 "," 1,560.13 ", 615.50 , 23.00 , 26.82 , 565.68 , 486.93 , 48.58 , 438.36 , 187.12 , 43.48 , 32.93 , 10.55 , 110.57 , 19.45 , 56.20 , 34.92 , 134.46 , -   , -   , -   , -   , 134.46 , (17.93), -   , -   , -   , -   , -   , -   , 495.64 , 105.21 , (16.80), (247.41), (247.41), 247.41 , 348.35 , 201.11 ,,0,-73.521,122.924,0,101.26,0,-3.43,-100.9380462,-83.07,32.93,-116,-7.67108,28.352,-38.54896619,-1.369072165,-27.12307692,0,0,-10.0568171,,5465.556481,4299.703293
